brick_id,brick_name,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1
315,Vejle,47.47428671,0.1839999999999999,0.354,0.0115,265.05283823869576,0.3266,6285,5402719.52,0.016499614090171637,-0.03540767620223051
401,Hedensted,53.20616935,0.179,0.3561428571428571,0.0119999999999999,228.8272451162804,0.3048333333333333,4360,3947148.29,0.011446033004478655,0.0462390942916758
402,Horsens,51.96497371,0.1581428571428571,0.3517499999999999,0.012,278.87800470026315,0.2711666666666666,7855,7141833.6899999995,0.020621236066555006,-0.3721007662853796
403,Aarhus City,32.71348075,0.11,0.316,0.009,354.40011793227364,0.24,2137,2134257.2600000002,0.00561013131435112,-1.6502274628884173
404,Ydre Aarhus,39.30785626,0.11,0.316,0.009,425.8400076915594,0.24,10585,9360032.98,0.02778813287899233,-1.6765008708358606
405,Silkeborg,46.99334174,0.1639285714285714,0.3404615384615385,0.0124999999999999,315.82184705641765,0.2865454545454545,7214,6474231.97,0.018938459195942434,-0.4686342042141924
406,Herning,54.01921206,0.1875999999999999,0.3556,0.012,236.9599208840359,0.2979,8642,7411446.58,0.022687297528601956,0.048094599036207025
407,Ringkoebing,59.04758591,0.1968333333333333,0.3498333333333334,0.0115999999999999,200.4732082209622,0.3164285714285714,7543,6439121.6899999995,0.019802162145133598,0.2858609068656074
408,Holstebro,58.41996408,0.1962857142857142,0.3595,0.0156,212.34474987603735,0.2998333333333333,7675,6606634.86,0.02014869341958112,0.46256159942401043
409,Skive,56.05545247,0.206,0.378,0.0156666666666666,210.0775770082384,0.2936666666666667,3049,2632715.7,0.00800434739235216,0.5626431936922359
410,Viborg,51.69609927,0.19875,0.3652499999999999,0.0146666666666666,252.99290157804683,0.287,5122,4483167.99,0.013446463543334786,0.19359743928204942
411,Randers,53.04023519,0.1784444444444444,0.354,0.0097142857142857,249.01942138882265,0.2853333333333334,7558,6497194.0200000005,0.019841540699048088,-0.2451964321058922
412,Ebeltoft,53.52053703,0.1823,0.3761,0.0123333333333333,250.24932397088065,0.2901,5683,5065352.72,0.014919221459736742,0.09705311868258223
501,Hadsund,50.61454736,0.1895,0.3746250000000001,0.0139999999999999,305.13395219184395,0.29075,4881,4305550.18,0.012813781443775301,0.06492546782791242
502,Aalborg City,42.67141966,0.18,0.36,0.013,298.52501132580113,0.27,2498,2378072.77,0.006557841845226532,-0.3618512096623264
503,Hobro,60.98449804,0.21275,0.3861111111111112,0.0139999999999999,199.93466690250875,0.3015,5413,4549832.53,0.014210407489275908,0.6936312382856349
504,Thisted,64.225625,0.1956666666666666,0.39175,0.01625,167.90110080532335,0.30575,4064,3770688.5300000003,0.01066896287389937,0.9200313144649844
505,Fjerritslev,61.36825032,0.20675,0.39675,0.015,211.50638770628996,0.30825,2531,2272721.56,0.006644474663838411,0.8079791260532085
506,Noerresundby,51.90731489,0.1928,0.3885555555555556,0.0135,266.142968695731,0.2905555555555555,4892,4404252.48,0.012842659049979261,0.23805350432068917
507,Hjoerring,59.90838539,0.20375,0.398,0.014,201.7573158456195,0.304,3746,3329583.7,0.009834137530912165,0.7148147669274486
508,Frederikshavn,61.7071137,0.21,0.3951666666666666,0.0139999999999999,177.93419951797102,0.2945,3379,2914704.2199999997,0.008870675578470957,0.7584634374966648
