brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1,Factor2,Factor3,population,glp1_sales_value_per_1,glp1_sales_volume_per_1,glp1_unit_price
403,Aarhus City,2169.525330,32.713481,0.110000,0.316000,0.009000,354.400118,0.240000,81.500000,5.280000,2137,2134257.260000,0.005610,-1.483424,-1.656573,-1.112423,66319.000000,32.181686,0.032223,998.7165465605991
404,Ydre Aarhus,7242.629748,39.307856,0.110000,0.316000,0.009000,425.840008,0.240000,81.500000,5.280000,10585,9360032.980000,0.027788,-1.628380,1.945618,-1.046899,184254.000000,50.799619,0.057448,884.2733094000945
405,Silkeborg,5324.721566,46.993342,0.163929,0.340462,0.012500,315.821847,0.286545,81.567692,5.566538,7214,6474231.970000,0.018938,-0.323548,0.774156,-1.073476,113308.000000,57.138348,0.063667,897.4538355974494
406,Herning,5502.937133,54.019212,0.187600,0.355600,0.012000,236.959921,0.297900,81.300308,5.628077,8642,7411446.580000,0.022687,0.177372,0.910236,-0.962908,101870.000000,72.753967,0.084834,857.6077968062948
407,Ringkoebing,3595.348458,59.047586,0.196833,0.349833,0.011600,200.473208,0.316429,81.302333,5.421000,7543,6439121.690000,0.019802,0.487491,-0.549808,-1.385367,60889.000000,105.751806,0.123881,853.6552684608246
408,Holstebro,4169.023897,58.419964,0.196286,0.359500,0.015600,212.344750,0.299833,81.008714,5.382286,7675,6606634.860000,0.020149,0.529773,-0.388208,-0.927806,71363.000000,92.577875,0.107549,860.7993302931596
409,Skive,2300.011270,56.055452,0.206000,0.378000,0.015667,210.077577,0.293667,81.235333,5.774667,3049,2632715.700000,0.008004,0.684026,-1.338964,-0.558943,41031.000000,64.164064,0.074310,863.46857986225
410,Viborg,3582.229503,51.696099,0.198750,0.365250,0.014667,252.992902,0.287000,81.366600,5.512000,5122,4483167.990000,0.013446,0.320349,-0.644435,-0.983232,69294.000000,64.697780,0.073917,875.2768430300664
411,Randers,6259.278154,53.040235,0.178444,0.354000,0.009714,249.019421,0.285333,80.885583,5.316833,7558,6497194.020000,0.019842,-0.205470,1.151894,-0.952250,118010.000000,55.056300,0.064045,859.64461762371
412,Ebeltoft,4274.203608,53.520537,0.182300,0.376100,0.012333,250.249324,0.290100,80.727222,5.699273,5683,5065352.720000,0.014919,0.092554,0.032964,-0.167864,79861.000000,63.427114,0.071161,891.3166848495513
501,Hadsund,4849.784699,50.614547,0.189500,0.374625,0.014000,305.133952,0.290750,80.628222,5.796000,4881,4305550.180000,0.012814,0.002668,0.481212,0.153560,95818.000000,44.934670,0.050940,882.1041139110837
502,Aalborg City,2868.330158,42.671420,0.180000,0.360000,0.013000,298.525011,0.270000,80.600000,6.060000,2498,2378072.770000,0.006558,-0.384563,-0.685169,0.545834,67219.000000,35.377985,0.037162,951.9907005604483
503,Hobro,3474.225869,60.984498,0.212750,0.386111,0.014000,199.934667,0.301500,80.567333,5.495000,5413,4549832.530000,0.014210,0.684439,-0.787696,-0.389658,56969.000000,79.865059,0.095017,840.5380620727877
504,Thisted,3336.906572,64.225625,0.195667,0.391750,0.016250,167.901101,0.305750,80.457750,5.578500,4064,3770688.530000,0.010669,0.868879,-0.875943,-0.121315,51956.000000,72.574650,0.078220,927.8269020669292
505,Fjerritslev,2074.492334,61.368250,0.206750,0.396750,0.015000,211.506388,0.308250,80.617250,5.785500,2531,2272721.560000,0.006644,0.805505,-1.483745,0.028302,33804.000000,67.232326,0.074873,897.9539944685895
506,Noerresundby,3386.692760,51.907315,0.192800,0.388556,0.013500,266.142969,0.290556,80.659000,6.024111,4892,4404252.480000,0.012843,0.210450,-0.333607,0.389307,65245.000000,67.503295,0.074979,900.2969092395749
507,Hjoerring,3330.307144,59.908385,0.203750,0.398000,0.014000,201.757316,0.304000,80.906800,6.112143,3746,3329583.700000,0.009834,0.757655,-0.270282,0.125746,55590.000000,59.895371,0.067386,888.8370795515217
508,Frederikshavn,3214.261846,61.707114,0.210000,0.395167,0.014000,177.934200,0.294500,80.377429,6.037000,3379,2914704.220000,0.008871,0.707562,-0.510137,0.495332,52089.000000,55.956233,0.064870,862.5937318733352
