brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate
315,Vejle,4389.045281,47.47428671,0.1839999999999999,0.354,0.0115,265.05283823869576,0.3266,81.0535,5.8615
401,Hedensted,2370.547669,53.20616935,0.179,0.3561428571428571,0.0119999999999999,228.8272451162804,0.3048333333333333,81.2405,5.538875
402,Horsens,4712.911326,51.96497371,0.1581428571428571,0.3517499999999999,0.012,278.87800470026315,0.2711666666666666,81.3365,5.62225
403,Aarhus City,2169.52533,32.71348075,0.11,0.316,0.009,354.40011793227364,0.24,81.5,5.28
404,Ydre Aarhus,7242.629748,39.30785626,0.11,0.316,0.009,425.8400076915594,0.24,81.5,5.28
405,Silkeborg,5324.721566,46.99334174,0.1639285714285714,0.3404615384615385,0.0124999999999999,315.82184705641765,0.2865454545454545,81.56769230769231,5.566538461538462
406,Herning,5502.937133,54.01921206,0.1875999999999999,0.3556,0.012,236.95992088403597,0.2979,81.30030769230767,5.628076923076923
407,Ringkoebing,3595.348458,59.04758591,0.1968333333333333,0.3498333333333334,0.0115999999999999,200.4732082209622,0.3164285714285714,81.30233333333332,5.420999999999999
408,Holstebro,4169.023897,58.41996408,0.1962857142857142,0.3595,0.0156,212.34474987603733,0.2998333333333333,81.00871428571429,5.382285714285715
409,Skive,2300.01127,56.05545247,0.206,0.378,0.0156666666666666,210.0775770082384,0.2936666666666667,81.23533333333333,5.774666666666666
410,Viborg,3582.229503,51.69609927,0.19875,0.3652499999999999,0.0146666666666666,252.99290157804683,0.287,81.36659999999999,5.5120000000000005
411,Randers,6259.278154,53.04023519,0.1784444444444444,0.354,0.0097142857142857,249.01942138882265,0.2853333333333334,80.88558333333333,5.316833333333332
412,Ebeltoft,4274.203608,53.52053703,0.1823,0.3761,0.0123333333333333,250.24932397088065,0.2901,80.72722222222222,5.699272727272728
501,Hadsund,4849.784699,50.61454736,0.1895,0.3746250000000001,0.0139999999999999,305.13395219184395,0.29075,80.6282222222222,5.796
502,Aalborg City,2868.330158,42.67141966,0.18,0.36,0.013,298.5250113258012,0.27,80.6,6.06
503,Hobro,3474.225869,60.98449804,0.21275,0.3861111111111112,0.0139999999999999,199.93466690250875,0.3015,80.56733333333334,5.495
504,Thisted,3336.906572,64.225625,0.1956666666666666,0.39175,0.01625,167.90110080532335,0.30575,80.45775,5.5785
505,Fjerritslev,2074.492334,61.36825032,0.20675,0.39675,0.015,211.50638770629,0.30825,80.61725,5.785500000000001
506,Noerresundby,3386.69276,51.90731489,0.1928,0.3885555555555556,0.0135,266.142968695731,0.2905555555555555,80.65899999999999,6.024111111111111
507,Hjoerring,3330.307144,59.90838539,0.20375,0.398,0.014,201.7573158456195,0.304,80.9068,6.112142857142857
508,Frederikshavn,3214.261846,61.7071137,0.21,0.3951666666666666,0.0139999999999999,177.93419951797102,0.2945,80.37742857142857,6.036999999999999
