SITE_SHORT;PERIOD_ID;COUNT_;WHO_ATC_CODE;CATEGORY;BRICK_NAME;BRICK_NO
pro;202005;1;A10AE54;New generation insulin in basal;Horsens;402
min;202005;1;A10AE54;New generation insulin in basal;Kbh. NV;107
pro;202005;1;A10AE54;New generation insulin in basal;Køge Bugt;201
pro;202005;1;A10AE54;New generation insulin in basal;Lolland;209
pro;202005;1;A10AE54;New generation insulin in basal;Nørrebro/City;103
pro;202005;3;A10AE54;New generation insulin in basal;Odense City;305
min;202005;7;A10AE54;New generation insulin in basal;Outside DK;Outside DK
pro;202005;7;A10AE54;New generation insulin in basal;Outside DK;Outside DK
pro;202005;4;A10AE54;New generation insulin in basal;Ringsted;205
pro;202005;1;A10AE54;New generation insulin in basal;Roskilde;202
pro;202005;1;A10AE54;New generation insulin in basal;Silkeborg;405
pro;202005;1;A10AE54;New generation insulin in basal;Sønderborg;307
min;202005;1;A10AE54;New generation insulin in basal;Tåstrup;116
pro;202005;1;A10AE54;New generation insulin in basal;Vejle;315
pro;202005;3;A10AE54;New generation insulin in basal;Vesterbro/Christianshavn;104
pro;202005;2;A10AE54;New generation insulin in basal;Vordingborg;207
min;202005;1;A10AE54;New generation insulin in basal;Ydre Århus;404
pro;202005;3;A10AE54;New generation insulin in basal;Ydre Århus;404
min;202005;7;A10AE56;New generation insulin in basal;Aalborg City;502
pro;202005;4;A10AE56;New generation insulin in basal;Aalborg City;502
min;202005;1;A10AE56;New generation insulin in basal;Amager;102
pro;202005;2;A10AE56;New generation insulin in basal;Amager;102
pro;202005;4;A10AE56;New generation insulin in basal;Ballerup;115
min;202005;1;A10AE56;New generation insulin in basal;Bornholm;101
pro;202005;3;A10AE56;New generation insulin in basal;Bornholm;101
min;202005;1;A10AE56;New generation insulin in basal;Esbjerg;313
pro;202005;1;A10AE56;New generation insulin in basal;Esbjerg;313
min;202005;1;A10AE56;New generation insulin in basal;Frederiksberg;105
pro;202005;1;A10AE56;New generation insulin in basal;Frederiksberg;105
min;202005;1;A10AE56;New generation insulin in basal;Gentofte;109
pro;202005;1;A10AE56;New generation insulin in basal;Gentofte;109
pro;202005;4;A10AE56;New generation insulin in basal;Glostrup;106
min;202005;4;A10AE56;New generation insulin in basal;Haderslev;311
pro;202005;6;A10AE56;New generation insulin in basal;Hadsund;501
min;202005;1;A10AE56;New generation insulin in basal;Hillerød;111
pro;202005;3;A10AE56;New generation insulin in basal;Hillerød;111
min;202005;1;A10AE56;New generation insulin in basal;Hjørring;507
pro;202005;3;A10AE56;New generation insulin in basal;Hjørring;507
pro;202005;1;A10AE56;New generation insulin in basal;Holstebro;408
pro;202005;5;A10AE56;New generation insulin in basal;Horsens;402
pro;202005;2;A10AE56;New generation insulin in basal;Kalundborg;203
pro;202005;1;A10AE56;New generation insulin in basal;Kbh. Ø.;108
min;202005;1;A10AE56;New generation insulin in basal;Kgs. Lyngby;110
pro;202005;1;A10AE56;New generation insulin in basal;Kgs. Lyngby;110
pro;202005;1;A10AE56;New generation insulin in basal;Kolding;312
pro;202005;1;A10AE56;New generation insulin in basal;Middelfart;306
pro;202005;1;A10AE56;New generation insulin in basal;Næstved;206
min;202005;2;A10AE56;New generation insulin in basal;Nørrebro/City;103
pro;202005;18;A10AE56;New generation insulin in basal;Nørrebro/City;103
min;202005;8;A10AE56;New generation insulin in basal;Outside DK;Outside DK
pro;202005;12;A10AE56;New generation insulin in basal;Outside DK;Outside DK
min;202005;1;A10AE56;New generation insulin in basal;Ringkøbing;407
pro;202005;2;A10AE56;New generation insulin in basal;Ringkøbing;407
min;202005;2;A10AE56;New generation insulin in basal;Ringsted;205
pro;202005;5;A10AE56;New generation insulin in basal;Ringsted;205
min;202005;2;A10AE56;New generation insulin in basal;Roskilde;202
pro;202005;1;A10AE56;New generation insulin in basal;Roskilde;202
min;202005;1;A10AE56;New generation insulin in basal;Silkeborg;405
pro;202005;2;A10AE56;New generation insulin in basal;Silkeborg;405
min;202005;3;A10AE56;New generation insulin in basal;Sønderborg;307
pro;202005;5;A10AE56;New generation insulin in basal;Sønderborg;307
min;202005;1;A10AE56;New generation insulin in basal;Thisted;504
min;202005;3;A10AE56;New generation insulin in basal;Tåstrup;116
pro;202005;2;A10AE56;New generation insulin in basal;Tåstrup;116
pro;202005;1;A10AE56;New generation insulin in basal;Varde;314
pro;202005;6;A10AE56;New generation insulin in basal;Vejle;315
min;202005;7;A10AE56;New generation insulin in basal;Vesterbro/Christianshavn;104
pro;202005;14;A10AE56;New generation insulin in basal;Vesterbro/Christianshavn;104
min;202005;1;A10AE56;New generation insulin in basal;Viborg;410
pro;202005;1;A10AE56;New generation insulin in basal;Vordingborg;207
pro;202005;1;A10AE56;New generation insulin in basal;Ydre Odense;304
min;202005;4;A10AE56;New generation insulin in basal;Ydre Århus;404
pro;202005;37;A10AE56;New generation insulin in basal;Ydre Århus;404
pro;202005;2;A10AE56;New generation insulin in basal;Århus City;403
min;202005;1;A10BA02;Metformin;Aabenraa;308
pro;202005;3;A10BA02;Metformin;Aabenraa;308
min;202005;23;A10BA02;Metformin;Aalborg City;502
pro;202005;33;A10BA02;Metformin;Aalborg City;502
min;202005;30;A10BA02;Metformin;Amager;102
pro;202005;38;A10BA02;Metformin;Amager;102
min;202005;1;A10BA02;Metformin;Assens;303
pro;202005;13;A10BA02;Metformin;Assens;303
min;202005;16;A10BA02;Metformin;Ballerup;115
pro;202005;34;A10BA02;Metformin;Ballerup;115
pro;202005;1;A10BA02;Metformin;Bornholm;101
min;202005;10;A10BA02;Metformin;Ebeltoft;412
pro;202005;4;A10BA02;Metformin;Ebeltoft;412
min;202005;6;A10BA02;Metformin;Esbjerg;313
pro;202005;3;A10BA02;Metformin;Esbjerg;313
min;202005;1;A10BA02;Metformin;Falster;208
min;202005;7;A10BA02;Metformin;Frederiksberg;105
pro;202005;7;A10BA02;Metformin;Frederiksberg;105
min;202005;2;A10BA02;Metformin;Frederikshavn;508
pro;202005;4;A10BA02;Metformin;Frederikshavn;508
min;202005;3;A10BA02;Metformin;Frederikssund;114
pro;202005;5;A10BA02;Metformin;Frederikssund;114
min;202005;9;A10BA02;Metformin;Gentofte;109
pro;202005;16;A10BA02;Metformin;Gentofte;109
min;202005;14;A10BA02;Metformin;Glostrup;106
pro;202005;20;A10BA02;Metformin;Glostrup;106
min;202005;3;A10BA02;Metformin;Haderslev;311
pro;202005;13;A10BA02;Metformin;Haderslev;311
min;202005;4;A10BA02;Metformin;Hadsund;501
pro;202005;20;A10BA02;Metformin;Hadsund;501
pro;202005;4;A10BA02;Metformin;Hedensted;401
min;202005;4;A10BA02;Metformin;Helsingør;113
pro;202005;9;A10BA02;Metformin;Helsingør;113
min;202005;5;A10BA02;Metformin;Herning;406
pro;202005;42;A10BA02;Metformin;Herning;406
min;202005;14;A10BA02;Metformin;Hillerød;111
pro;202005;17;A10BA02;Metformin;Hillerød;111
min;202005;17;A10BA02;Metformin;Hjørring;507
