YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY
202008,P,2,338.36,A10AB05,Herning
202008,P,8,2140.4,A10AB05,København
202009,P,2,506.39,A10AB01,Halsnæs
202009,P,4,913.36,A10BD08,Furesø
202009,P,20,6478.73,A10BK03,København
202009,P,57,825.6,A10BA02,Vejen
202008,P,9,225.0,A10BA02,Vordingborg
202008,P,38,12771.8,A10AE04,Randers
202008,P,1,25.0,A10BA02,Vordingborg
202008,P,-1,-245.54,A10BD07,Fredericia
202008,P,-2,-282.0,A10BX02,Sønderborg
202008,P,3,1372.77,A10AE06,Kalundborg
202008,P,-2,-2034.6,A10BD20,Roskilde
202008,P,1,296.16,A10AB05,Næstved
202009,P,1,685.21,A10BJ06,Hjørring
202009,P,30,9464.0,A10BK01,Aalborg
202009,P,7,2635.43,A10AE04,Esbjerg
202009,P,3,2395.99,A10BD07,Helsingør
202009,P,1,515.0,A10BG03,Allerød
202009,P,9,2366.27,A10AD05,Hvidovre
202008,P,58,1189.0,A10BA02,Gribskov
202009,P,2,1450.5,A10BD07,Faaborg-Midtfyn
202008,P,13,13074.61,A10BK03,Greve
202008,P,14,308.0,A10BA02,Helsingør
202008,P,6,1924.8,A10BK01,Bornholm
202008,P,3,3309.0,A10BK01,Helsingør
202008,P,47,13870.17,A10AB05,Jammerbugt
202008,P,9,5809.23,A10BJ06,Vallensbæk
202008,P,1,969.92,A10BD20,Furesø
202009,P,2,1808.98,A10BH05,Greve
202009,P,4,1361.76,A10BH01,København
202009,P,3,5223.0,A10BJ02,Gribskov
202009,P,3,72.0,A10BB12,Hvidovre
202009,P,26,6702.82,A10AB05,Lyngby-Taarbæk
202009,P,14,3760.82,A10AC01,Hjørring
202009,P,3,828.93,A10AC01,Næstved
202009,P,5,1584.48,A10BK01,Frederikssund
202008,P,2,517.78,A10AB05,Ikast-Brande
202008,P,58,26301.78,A10AE06,Hvidovre
202008,P,1,751.1,A10BD07,Kerteminde
202009,S,30,6705.0,A10AE04,Odense
202009,S,10,510.0,A10BB12,Odense
202009,P,1,328.58,A10BK01,Samsø
202008,P,105,67466.82,A10BJ06,Faaborg-Midtfyn
202008,P,4,912.84,A10BD08,Ringsted
202009,P,-6,-5072.16,A10BD15,Næstved
202009,P,1,1747.67,A10BJ02,Faaborg-Midtfyn
202009,P,-3,-120.0,A10BB12,Rødovre
202009,P,2,48.0,A10BB12,Gentofte
202009,P,6,6135.48,A10BK03,Faaborg-Midtfyn
202009,P,1,347.0,A10BH02,København
202009,P,-1,-1130.0,A10BK01,Hørsholm
202009,P,1,864.0,A10BJ05,Middelfart
202009,P,19,4374.34,A10BD08,Fredensborg
202008,P,4,6990.68,A10BJ02,Gribskov
202008,P,1,13.49,A10BB12,Furesø
202008,P,3,891.87,A10AD01,Aabenraa
202008,P,12,12092.76,A10BK03,Favrskov
202008,P,10,10070.0,A10BK03,Slagelse
202008,P,15,2325.0,A10BB01,Hvidovre
202009,P,1,148.0,A10BB01,Sorø
202009,P,7,1858.69,A10AD05,Vordingborg
202008,P,7,11098.29,A10BJ02,Køge
202008,P,25,6944.0,A10AB05,Lemvig
202009,P,4,1165.29,A10BD08,Sønderborg
202009,P,9,4210.02,A10AE06,Dragør
202009,P,10,3329.6,A10BK03,Esbjerg
202009,P,2,214.14,A10AC01,Gribskov
202009,P,3,507.54,A10AB05,Roskilde
202009,P,25,6907.75,A10AC01,Aabenraa
202009,P,2,1532.0,A10BJ06,Favrskov
202009,P,6,74.94,A10BB12,Tønder
202008,P,6,80.94,A10BB12,Holbæk
202008,P,5,1430.0,A10AD05,Aalborg
202009,P,7,4976.79,A10BJ02,Horsens
202009,P,13,6149.0,A10AE06,Aarhus
202009,P,9,276.0,A10BB12,Glostrup
202009,P,1,297.29,A10AD01,Frederikshavn
202009,P,64,30723.84,A10AE04,Svendborg
202009,P,18,749.7,A10BA02,Herning
202009,P,11,12719.63,A10BK01,Færøerne
202009,P,2,708.98,A10AB05,Furesø
202009,P,1,749.0,A10BD07,Gentofte
202009,P,3,837.0,A10BH01,Billund
202009,P,2,561.56,A10AC01,Aarhus
202009,P,21,21732.02,A10BK01,København
202008,P,3,1004.4,A10BK02,Fredensborg
202008,P,1,279.65,A10BH01,Odder
202008,P,5,5035.0,A10BK03,Herlev
202009,P,2,94.0,A10BB12,Ringsted
202009,P,10,2589.58,A10AB05,Norddjurs
202009,P,4,48.0,A10BA02,Vesthimmerland
202009,P,16,688.21,A10BB12,Køge
202009,P,1,297.29,A10AD01,Vejle
202009,P,6,1374.51,A10BD07,Vesthimmerland
202009,P,5,5057.2,A10BD20,Helsingør
202009,P,31,8929.24,A10AE04,Middelfart
202009,P,14,4784.8,A10BK03,Aalborg
202009,P,11,7178.05,A10BJ06,Brøndby
202009,S,1433,35825.0,A10BA02,Herlev
202009,P,-4,-3067.08,A10BD07,Kolding
202009,P,4,1376.0,A10BK03,Kalundborg
202009,P,7,1071.2,A10AB05,København
202009,P,29,18643.69,A10BJ06,Egedal
202009,P,3,61.5,A10BA02,Ballerup
202009,P,13,2986.21,A10BD08,Morsø
202009,P,4,1272.83,A10BK01,Frederikssund
202009,P,-2,-482.18,A10BD07,Svendborg
202009,P,86,61470.02,A10BJ02,Herning
202009,P,8,2123.02,A10AB05,Silkeborg
202009,P,14,5350.1,A10AE05,Jammerbugt
202009,P,26,1866.8,A10BA02,Bornholm
202009,P,6,1536.0,A10AB01,Nordfyn
202009,P,44,11855.5,A10AD05,Frederikshavn
202009,P,1,24.0,A10BB12,Hillerød
202009,P,3,3389.97,A10BK01,Frederikssund
202009,P,127,34400.0,A10AB05,Sønderborg
202009,P,10,10340.0,A10BK03,Assens
202009,P,6,5426.56,A10BH05,Hedensted
202009,P,10,238.0,A10BB12,Faxe
202009,P,81,1611.9,A10BA02,København
202009,P,19,5821.89,A10AE04,Brønderslev
202009,P,95,1710.0,A10BA02,Frederikssund
202009,P,9,7191.99,A10BD07,Other
202009,P,97,1762.09,A10BA02,Kolding
202009,P,1,320.43,A10BK01,Slagelse
202009,P,4,1037.84,A10AB04,Ballerup
202009,P,3,71.4,A10BB12,Varde
202009,P,4,955.48,A10BD07,Roskilde
202009,P,-1,-1089.29,A10BK01,Nordfyn
202009,P,4,6344.92,A10BJ02,Frederikshavn
202009,P,2,538.0,A10AD05,Svendborg
202009,P,26,18826.02,A10BJ02,Silkeborg
202009,P,4,1815.52,A10BH01,Holstebro
202009,P,11,2079.66,A10AB05,Hjørring
202009,P,3,2812.98,A10BH05,Rudersdal
202009,P,12,6912.96,A10AE04,Viborg
202009,P,3,696.6,A10BD15,Sorø
202009,P,1,258.23,A10BD15,Odense
202009,P,3,59.4,A10BB12,Viborg
202009,P,-1,-497.63,A10BB07,Gentofte
202009,P,6,5849.04,A10BJ06,København
202009,P,3,1728.24,A10AE04,Vallensbæk
202009,P,3,1021.5,A10BK03,Furesø
202009,P,5,4404.75,A10BD08,Aarhus
202009,P,2,512.0,A10AB01,Frederikssund
202009,P,30,8040.0,A10AB05,Hillerød
202009,P,8,3752.92,A10AE06,Allerød
202009,P,-2,-2129.4,A10BK01,Esbjerg
202009,P,1,89.1,A10BB09,Lemvig
202009,S,120,1620.0,A10BA02,Aarhus
202009,P,13,3850.08,A10AB05,Kalundborg
202009,P,2,2086.0,A10BD20,Egedal
202009,P,30,21499.5,A10BJ02,Struer
202009,P,-2,-31.0,A10BA02,Køge
202009,P,14,5350.1,A10AE05,Fredericia
202009,P,7,2252.88,A10BK01,Allerød
202009,P,1,24.19,A10BB09,Norddjurs
202009,P,10,331.99,A10BB12,Vesthimmerland
202009,P,14,4649.4,A10BH01,Glostrup
202009,P,-4,-1088.92,A10AD05,Fredericia
202009,P,7,4032.56,A10AE04,Slagelse
202009,P,2,1532.0,A10BJ06,Faxe
202009,P,1,152.1,A10AB05,Langeland
202009,P,3,1419.0,A10AE06,Sorø
202007,P,2,1552.8,A10BD07,Kalundborg
202007,P,2,51.2,A10BB12,Lemvig
202007,P,9,2782.53,A10BH05,Gladsaxe
202007,P,-1,-605.98,A10BH01,Langeland
202007,P,2,542.98,A10AB04,Vejle
202007,P,1,605.98,A10BH01,Glostrup
202007,P,-1,-1064.7,A10BK01,Mariagerfjord
202007,P,-1,-768.56,A10BH01,Solrød
202007,P,4,2978.08,A10BD08,Holstebro
202007,P,37,38355.64,A10BJ02,Norddjurs
202007,P,5,5243.0,A10BK01,Nordfyn
202007,P,32,14713.92,A10AE06,Varde
202007,P,7,2247.0,A10BK01,Vejen
202007,P,3,1063.47,A10AB05,Solrød
202007,P,44,21122.64,A10AE04,Hvidovre
202007,P,5,1702.5,A10BK03,Sønderborg
202007,P,2,151.6,A10BB09,Other
202007,P,6,1975.92,A10BK01,Slagelse
202007,P,2,678.0,A10BD20,Herning
202007,P,21,225.75,A10BA02,Kalundborg
202007,P,4,44.0,A10BA02,Stevns
202007,P,45,513.0,A10BA02,Køge
202007,P,9,3042.84,A10BK03,Ringsted
202007,P,2,1693.68,A10AE56,København
202007,P,4,68.0,A10BB12,Ikast-Brande
202007,P,1,1026.27,A10BK03,Jammerbugt
202007,P,3,2200.8,A10BD08,Hedensted
202007,P,5,2880.4,A10AE04,Fredensborg
202007,P,-2,-1578.02,A10BD08,Ballerup
202007,P,8,12885.86,A10BJ02,Ringsted
202007,P,6,1684.0,A10BH01,Vordingborg
202007,P,5,2709.08,A10BH01,Hjørring
202007,P,20,478.4,A10BA02,Norddjurs
202007,P,-1,-19.8,A10BB12,Gribskov
202007,P,3,115.0,A10BB09,Holbæk
202007,P,4,136.0,A10BB12,Sorø
202007,P,5,1375.0,A10AD05,Hjørring
202007,P,16,16576.56,A10BJ02,Høje-Taastrup
202007,P,2,1829.1,A10BD08,Lolland
202007,P,61,14078.77,A10BD07,Frederikshavn
202007,P,69,11535.39,A10AB05,Vejle
202007,P,1,148.0,A10BB01,Skive
202007,P,15,525.0,A10BB12,Hvidovre
202007,P,0,0.0,A10BB01,Rudersdal
202007,P,16,5086.8,A10BK03,Aabenraa
202007,P,1,27.0,A10BB09,Holstebro
202007,P,1,1026.27,A10BK03,Kalundborg
202007,P,1,328.89,A10BH01,Holbæk
202007,P,1,363.9,A10BB07,København
202007,P,12,173.88,A10BB12,Frederiksberg
202007,P,2,405.82,A10BD08,Brøndby
202007,P,2,1477.18,A10BD08,København
202007,P,9,374.85,A10BA02,København
202007,P,3,1063.59,A10BK03,Helsingør
202007,P,1,20.5,A10BA02,København
202007,P,11,11116.12,A10BK03,Herlev
202007,P,1,652.76,A10BJ06,Skanderborg
202007,S,17,510.0,A10BA02,Herlev
202007,P,2,588.14,A10AB05,Næstved
202007,P,-2,-689.78,A10BK01,Faaborg-Midtfyn
202007,P,4,2319.72,A10AD05,Ikast-Brande
202007,P,2,143.64,A10BA02,København
202007,P,48,13825.92,A10AE04,Roskilde
202007,P,1,287.0,A10AB05,Ringkøbing-Skjern
202007,P,10,6235.96,A10BJ06,Odense
202007,P,-4,-448.0,A10BB09,København
202007,P,11,11088.0,A10BK03,Varde
202007,P,1,722.0,A10BJ01,Frederikshavn
202007,P,1,733.6,A10BD08,Morsø
202007,P,8,2326.16,A10AD05,Greve
202007,P,1,297.29,A10AD01,Køge
202007,P,0,0.0,A10BD08,Varde
202007,P,7,195.21,A10BB12,Vordingborg
202007,P,11,196.0,A10BB12,Tønder
202007,P,6,162.0,A10BB09,København
202007,P,2,151.6,A10BB09,Vesthimmerland
202007,P,7,12062.45,A10BJ02,Vordingborg
202007,P,12,288.0,A10BA02,Nyborg
202007,P,9,374.85,A10BA02,Roskilde
202007,P,-2,-470.0,A10BD07,Frederiksberg
202007,P,2,474.16,A10AD01,Aarhus
202007,P,2,502.94,A10BD07,Ringkøbing-Skjern
202007,P,3,96.0,A10BB12,Greve
202007,P,3,5168.67,A10BJ02,Egedal
202007,P,10,3348.0,A10BK02,Fredericia
202007,P,12,3063.0,A10AB06,Slagelse
202007,P,2,1829.1,A10BD08,Favrskov
202007,P,6,4460.45,A10BD08,Guldborgsund
202007,P,-1,-262.59,A10BD15,Norddjurs
202007,P,3,986.67,A10BH01,Lolland
202007,P,6,1542.0,A10AB06,Randers
202007,P,2,1170.97,A10BJ05,København
202007,P,2,530.0,A10AB01,København
202007,P,6,10281.42,A10BJ02,København
202007,P,-3,-2355.0,A10BD07,Svendborg
202007,P,2,619.78,A10BD08,Rebild
202007,P,1,752.82,A10BJ02,Fredericia
202007,P,13,933.4,A10BA02,Nordfyn
202007,P,13,9968.01,A10BD07,Helsingør
202007,P,5,135.0,A10BB09,Glostrup
202007,P,7,1692.11,A10BD07,Høje-Taastrup
202007,P,12,2638.92,A10BD13,Tårnby
202007,P,1,1729.88,A10BJ02,København
202007,P,4,1180.88,A10AE06,Randers
202007,P,8,2106.72,A10AB01,Vejle
