YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202102,P,5,2876.05,A10AE04,Hedensted,401
202102,P,10,6476.42,A10BJ06,Frederikshavn,508
202102,P,6,6317.52,A10BJ02,Ringsted,205
202102,P,2,764.3,A10AE05,Assens,303
202102,P,2,490.0,A10AB05,Helsingør,113
202101,P,2,764.3,A10AE05,Hørsholm,112
202102,P,1,849.94,A10BJ05,Herning,406
202102,P,3,2582.79,A10BH03,Thisted,504
202102,P,-1,-227.5,A10BD08,Silkeborg,405
202102,P,29,6687.9,A10BD07,Sønderborg,307
202102,P,41,19145.94,A10AE06,Tønder,309
202102,P,13,2981.0,A10BD07,Haderslev,311
202102,P,17,537.0,A10BB12,Frederiksberg,105
202102,P,2,1672.92,A10BD07,Glostrup,106
202102,P,26,8874.31,A10BK03,Helsingør,113
202102,P,72,20221.4,A10AB05,Svendborg,301
202101,P,1,360.0,A10BK01,Viborg,410
202102,P,51,8460.39,A10AB05,Sønderborg,307
202102,P,55,9720.7,A10AB05,Frederikshavn,508
202102,P,2,122.0,A10BX02,Sønderborg,307
202102,P,35,9468.2,A10BD08,Middelfart,306
202102,P,5,5182.37,A10BH05,Aabenraa,308
202102,P,-3,-1096.44,A10BK01,Ballerup,115
202102,P,2,270.0,A10BG03,Hjørring,507
202101,P,1,350.32,A10BD08,Assens,303
202102,P,1,965.0,A10BD20,Frederiksberg,105
202102,P,3,1932.0,A10BJ06,Nyborg,302
202102,P,22,3601.52,A10AB05,Kalundborg,203
202102,P,9,9476.28,A10BJ02,Hillerød,111
202102,P,0,0.0,A10BB12,København,100
202102,P,2,708.98,A10AB05,Slagelse,204
202101,P,-1,-35.0,A10BB12,Varde,314
202102,P,64,1309.64,A10BA02,Svendborg,301
202102,P,15,5120.0,A10BK01,Skive,409
202102,P,26,6760.19,A10AD05,Svendborg,301
202102,P,19,8916.32,A10AE06,Gentofte,109
202102,P,3,2258.46,A10BJ02,Middelfart,306
202102,P,4,1096.0,A10AC01,Vejle,315
202102,P,45,21117.6,A10AE06,Viborg,410
202102,P,1,886.22,A10BJ05,Svendborg,301
202102,P,-1,-426.0,A10AD05,Slagelse,204
202102,P,8,7423.8,A10BD20,Roskilde,202
202102,P,4,529.88,A10AC01,Randers,411
202102,P,13,2985.45,A10BD07,Varde,314
202102,P,-1,-1107.33,A10BH03,Glostrup,106
202102,P,10,2480.0,A10AB06,Frederikshavn,508
202102,P,24,26952.0,A10BK01,Næstved,206
202102,P,7,3284.96,A10AE06,Hillerød,111
202102,P,45,7953.3,A10AB05,Lolland,209
202102,P,11,11343.95,A10BK03,København,100
202102,P,-16,-4406.88,A10BD08,Kalundborg,203
202102,P,34,22084.78,A10BJ06,Randers,411
202102,P,16,15597.44,A10BJ06,Frederikshavn,508
202102,P,-1,-965.0,A10BD20,Frederikshavn,508
202102,P,1,308.57,A10AE04,Hillerød,111
202102,P,37,6045.18,A10AB05,Frederikssund,114
202102,P,5,3825.0,A10BJ06,Herning,406
202102,P,20,6182.54,A10AE04,Randers,411
202102,P,10,3821.5,A10AE05,Esbjerg,313
202102,P,6,2008.8,A10BK02,Randers,411
202102,P,2,698.68,A10BD15,Roskilde,202
202102,P,-4,-910.0,A10BD08,Skive,409
202102,P,23,7801.71,A10BK01,Thisted,504
202102,P,8,4608.64,A10AE04,Vejle,315
202102,P,1,752.82,A10BJ02,Svendborg,301
202102,P,9,5679.0,A10BJ06,Vejle,315
202102,P,24,6720.0,A10AB05,Tønder,309
202102,P,2,439.82,A10BD13,Roskilde,202
202102,P,1,24.0,A10BA02,Randers,411
202102,P,3,2906.94,A10BD20,Vordingborg,207
202102,P,11,1937.1,A10AB04,Randers,411
202102,P,12,20924.52,A10BJ02,Horsens,402
202102,P,3,2295.0,A10BJ06,Thisted,504
202102,P,2,2040.0,A10BD08,Holstebro,408
202102,P,6,1440.0,A10BD07,Sønderborg,307
202102,P,8,7471.68,A10BH05,Thisted,504
202102,P,-1,-780.11,A10BH03,Helsingør,113
202102,P,3,1001.55,A10AB04,Lolland,209
202102,P,206,180376.56,A10BJ06,Kalundborg,203
202102,P,47,15475.07,A10AE04,Viborg,410
202102,P,3,4592.19,A10BJ02,Kolding,312
202102,P,6,2008.8,A10BK02,Vordingborg,207
202102,P,1,315.66,A10BD10,Horsens,402
202102,P,-2,-69.28,A10BB12,Varde,314
202102,P,0,0.0,A10AB05,Helsingør,113
202102,P,8,2112.0,A10AD05,Svendborg,301
202102,P,2,2080.56,A10BK03,Horsens,402
202102,P,6,5100.0,A10BD07,Silkeborg,405
202102,P,3,2892.96,A10BK01,København,100
202102,P,5,3830.0,A10BJ06,Skive,409
202102,P,1,300.49,A10AB05,Haderslev,311
202102,P,39,12057.63,A10BH05,Frederikshavn,508
202102,P,1,336.0,A10BH01,Randers,411
202102,P,37,12464.1,A10BK03,Roskilde,202
202102,P,5,1364.0,A10AC01,Vordingborg,207
202102,P,1,923.0,A10BD20,Frederikshavn,508
202102,P,57,16154.0,A10AB05,Vejle,315
202102,P,7,557.74,A10BB12,København,100
202102,P,1,769.3,A10BH04,Holstebro,408
202102,P,1,467.0,A10AE06,Nyborg,302
202102,P,6,1572.0,A10AD05,København,100
202102,P,1,57.0,A10BB09,Bornholm,101
202102,P,2,48.0,A10BA02,København,100
202102,P,28,434.0,A10BA02,Silkeborg,405
202102,P,3,2276.1,A10AE56,Haderslev,311
202102,P,-1,-844.74,A10BH03,Vordingborg,207
202102,P,-2,-51.0,A10BA02,Esbjerg,313
202102,P,20,15320.0,A10BJ06,Frederikssund,114
202102,P,5,851.0,A10AB05,Næstved,206
202102,P,1,3475.22,A10BJ02,Roskilde,202
202102,P,-1,-336.0,A10BH01,Tønder,309
202102,P,2,116.0,A10BB09,Aabenraa,308
202102,P,9,15719.71,A10BJ02,Kalundborg,203
202102,P,105,30244.2,A10AE04,Næstved,206
202102,P,1,1129.0,A10BJ02,Kolding,312
202102,P,84,27487.78,A10AE04,Frederikssund,114
202102,P,3,174.0,A10BB09,Glostrup,106
202102,P,2,670.74,A10AE04,Hørsholm,112
202102,S,30,405.0,A10BA02,Esbjerg,313
202102,P,-1,-29.0,A10BB09,Herning,406
202102,P,2,1975.42,A10BK03,Middelfart,306
202102,P,-1,-1025.38,A10BK03,Randers,411
202102,P,-1,-974.84,A10BJ06,Nyborg,302
202102,P,2,1740.0,A10BD08,Holstebro,408
202102,P,6,2820.0,A10AE06,Varde,314
202102,P,5,1882.45,A10AE04,Hjørring,507
202102,P,-1,-672.6,A10BD08,Tønder,309
202102,P,2,528.0,A10AD05,Nyborg,302
202102,P,13,13658.67,A10BK01,Frederiksberg,105
202102,P,4,6983.76,A10BJ02,Slagelse,204
202102,P,2,378.12,A10AB05,Holstebro,408
202102,P,1,20.0,A10BB09,Aabenraa,308
202102,P,1,20.0,A10BB09,Esbjerg,313
202102,P,35,11957.82,A10BK03,Kolding,312
202102,P,-1,-849.0,A10BD07,København,100
202102,P,21,9849.0,A10AE06,Ringsted,205
202102,P,128,2603.0,A10BA02,Silkeborg,405
202102,P,-2,-1563.18,A10BD07,Helsingør,113
202102,P,7,1677.62,A10AB01,København,100
202103,P,-2,-1796.54,A10BD20,Viborg,410
202103,P,1,755.52,A10AE56,Varde,314
202102,P,1,220.0,A10AD05,Silkeborg,405
202103,P,1,1144.89,A10BK01,Vejle,315
202103,P,2,494.0,A10AB06,Lolland,209
202103,P,-6,-83.4,A10BA02,Hedensted,401
202103,P,-2,-768.86,A10BK01,København,100
202103,P,1,20.55,A10BA02,Hillerød,111
202103,P,10,2946.89,A10BD20,Viborg,410
202103,P,2,1501.94,A10BJ01,Herning,406
202103,P,32,5308.48,A10AB05,Skive,409
202102,P,1,248.0,A10AB06,Helsingør,113
202102,P,2,669.6,A10BK02,København,100
202102,P,2,2105.84,A10BJ02,Varde,314
202103,P,2,1697.45,A10BD07,Skive,409
202103,P,-4,-1468.0,A10BK01,København,100
202103,P,7,7231.69,A10BH05,Aabenraa,308
202103,P,6,4516.92,A10BJ02,Næstved,206
202102,P,2,510.5,A10AB06,Hedensted,401
202102,P,4,3120.0,A10BD07,Ringsted,205
202103,P,1,20.0,A10BB12,Middelfart,306
202103,P,19,9121.14,A10AE04,Nyborg,302
202103,P,5,1910.75,A10AE05,Nyborg,302
202103,P,31,29618.89,A10BK03,Næstved,206
202102,P,0,-1.0,A10AB06,Lolland,209
202103,P,10,17471.18,A10BJ02,Kolding,312
202102,P,11,10927.09,A10BK03,Nyborg,302
202102,P,2,116.0,A10BB09,Sønderborg,307
202103,P,26,7064.66,A10BD08,Helsingør,113
202007,P,1,166.21,A10BG03,Glostrup,106
202007,P,1,846.84,A10AE56,Vejle,315
202008,P,2,368.0,A10AC01,Varde,314
202008,P,3,2173.5,A10BD08,Vejle,315
202008,P,-2,-190.0,A10BB12,Ballerup,115
202008,P,-4,-563.07,A10BX02,Sønderborg,307
202008,P,41,6942.11,A10AB05,Kolding,312
202008,P,1,885.39,A10BD08,Ringsted,205
202008,P,61,27599.91,A10AE06,Ringsted,205
202008,P,4,1020.0,A10AB06,København,100
202008,P,1,864.0,A10BJ05,Middelfart,306
202008,P,1,255.4,A10BD07,Haderslev,311
202008,P,4,4030.92,A10BK03,Herning,406
202007,P,3,972.0,A10BK01,Hjørring,507
202008,P,13,933.66,A10BA02,Nyborg,302
202007,P,2,1489.04,A10BD08,Slagelse,204
202008,P,1,363.9,A10BB07,Hillerød,111
202008,P,9,4223.52,A10AE06,Svendborg,301
202008,P,1,12.0,A10BA02,Hillerød,111
202008,P,-1,-95.0,A10BB12,København,100
202007,P,1,30.0,A10BA02,Kalundborg,203
202007,S,40,11723.4,A10AB05,Næstved,206
202007,P,0,0.0,A10BH01,Skive,409
202008,P,12,4051.44,A10AB05,Aabenraa,308
202008,P,5,1480.8,A10AB05,Esbjerg,313
202008,P,4,2968.0,A10BJ02,København,100
202008,P,1,316.72,A10BK03,Svendborg,301
202008,P,2,346.0,A10BB09,Næstved,206
202008,P,3,2924.52,A10BJ06,Holstebro,408
202008,P,1,1028.49,A10BH03,Silkeborg,405
202008,P,103,2111.5,A10BA02,Skive,409
202008,P,2,447.0,A10AE04,Roskilde,202
202008,P,8,4603.84,A10BJ05,Kolding,312
202008,P,7,1847.07,A10AB05,Ringsted,205
202008,P,263,3502.76,A10BA02,Næstved,206
202008,P,9,5179.32,A10BJ05,København,100
202008,P,3,1129.47,A10AE04,Helsingør,113
202008,P,1,184.0,A10AC01,København,100
202008,P,4,2885.42,A10BD08,Hillerød,111
202008,P,1,148.0,A10BB01,Sønderborg,307
202008,P,4,3064.0,A10BJ06,Aabenraa,308
202008,P,2,1533.54,A10BD07,Vejle,315
202008,P,1,1729.88,A10BJ02,Skive,409
202008,P,2,505.17,A10BD15,Kolding,312
202008,P,19,6374.86,A10AE04,Middelfart,306
202007,P,21,12307.45,A10BJ05,Kolding,312
202008,P,-1,-188.45,A10AC01,Aabenraa,308
202008,P,18,28657.26,A10BJ02,Helsingør,113
202008,P,1,717.41,A10BD08,Kalundborg,203
202008,P,2,26.98,A10BB12,Gentofte,109
202008,P,17,6026.33,A10AB05,Vordingborg,207
202008,P,5,4039.93,A10BD07,Esbjerg,313
202008,P,13,3006.56,A10BD07,Ballerup,115
202007,P,4,988.0,A10BD07,Vordingborg,207
202007,P,-1,-40.0,A10BB12,København,100
202007,P,1,376.49,A10AE04,Hedensted,401
202008,P,4,1222.4,A10BH01,København,100
202008,P,25,16703.9,A10BJ06,Ringsted,205
202008,P,25,6882.75,A10AD05,Herning,406
202008,P,2,907.76,A10BH01,Næstved,206
202008,P,2,1984.32,A10BK03,Gentofte,109
202008,P,3,2173.5,A10BD08,Assens,303
202008,P,2,662.0,A10BD20,Roskilde,202
202008,P,7,1701.28,A10BD08,Frederiksberg,105
202007,P,12,2887.24,A10BD15,Randers,411
202007,P,62,10319.68,A10AB05,Kolding,312
202008,P,8,4582.0,A10BJ05,Esbjerg,313
202008,P,2,566.0,A10AB04,Frederikshavn,508
202008,P,1,769.3,A10BH04,Hillerød,111
202007,P,6,64.5,A10BA02,København,100
202008,P,2,960.12,A10AE04,Hørsholm,112
202008,P,3,1551.93,A10BH01,Tønder,309
202008,P,4,680.0,A10AB05,København,100
202008,P,21,4693.5,A10AE04,Vejle,315
202008,P,-5,-1227.7,A10BD07,Lolland,209
202008,P,12,3351.76,A10AD05,Randers,411
202008,P,1,707.45,A10BD07,Kalundborg,203
202008,P,-1,-234.0,A10AC01,Gentofte,109
202008,P,3,3169.26,A10BJ02,Assens,303
202008,P,6,1677.9,A10BH01,Viborg,410
202008,P,3,75.39,A10BB12,Silkeborg,405
202008,P,7,6950.79,A10BK03,Roskilde,202
202008,P,99,44901.69,A10AE06,Næstved,206
202008,P,1,974.84,A10BJ06,Vejle,315
202008,P,1,667.41,A10BD07,Horsens,402
202008,P,1,15.5,A10BA02,Lolland,209
202008,P,1,311.1,A10AE04,København,100
202008,P,11,7183.59,A10BJ06,København,100
202008,P,2,41.0,A10BA02,København,100
202008,P,12,3613.8,A10BK01,Helsingør,113
202008,P,64,41136.85,A10BJ06,Glostrup,106
202008,P,4,145.0,A10BB09,Hjørring,507
202008,P,8,4603.84,A10BJ05,Svendborg,301
202008,P,8,2592.0,A10BK01,Skive,409
202008,P,-1,-328.89,A10BH01,Lolland,209
202008,P,-1,-324.13,A10BH01,Ringsted,205
202008,P,2,648.0,A10BK01,Randers,411
202008,P,5,1920.95,A10BH01,Aabenraa,308
202008,P,84,54685.08,A10BJ06,København,100
202008,P,1,282.61,A10AD05,Hjørring,507
202008,P,12,2041.02,A10AB05,Roskilde,202
202008,P,180,31813.2,A10AB05,Kolding,312
202008,P,-1,-1078.16,A10BK01,Herning,406
202008,P,4,1324.0,A10BD20,Helsingør,113
202008,P,21,22166.24,A10BJ02,Sønderborg,307
202008,P,6,4366.28,A10BD08,Silkeborg,405
202008,P,144,65211.54,A10AE06,København,100
202008,P,5,1363.75,A10AD05,Varde,314
202008,P,1,1048.6,A10BK01,Roskilde,202
202008,P,12,11941.52,A10BK03,Frederiksberg,105
202008,P,2,519.86,A10AB05,Gentofte,109
202008,P,34,16082.0,A10AE06,Varde,314
202008,P,2,550.86,A10BD08,Bornholm,101
202008,P,37,6327.0,A10AB05,Herning,406
